NOME,TIPO
AEROCARIBBEAN AIRLINES,J
"ANGLO-CARIBBEAN CO., LTD.",J
BANCO NACIONAL DE CUBA,J
BOUTIQUE LA MAISON,J
CASA DE CUBA,J
"CECOEX, S.A.",J
CIMEX,J
CIMEX IBERICA,J
"CIMEX, S.A.",J
"COMERCIAL IBEROAMERICANA, S.A.",J
"COMERCIAL CIMEX, S.A.",J
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",J
COMERCIALIZACION DE PRODUCTOS VARIOS,J
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,J
"CORPORACION CIMEX, S.A.",J
COTEI,J
"CRYMSA - ARGENTINA, S.A.",J
CUBACANCUN CIGARS AND GIFT SHOPS,J
CUBAEXPORT,J
CUBAFRUTAS,J
CUBAN CIGARS TRADE,J
CUBANATUR,J
CUBATABACO,J
"CUMEXINT, S.A.",J
"DELVEST HOLDING, S.A.",J
EDICIONES CUBANAS,J
"EDYJU, S.A.",J
EMPRESA CUBANA DE AVIACION,J
EMPRESA CUBANA DE PESCADOS Y MARISCOS,J
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,J
ETCO INTERNATIONAL COMMODITIES LTD.,J
"ETCO INTERNATIONAL COMPANY, LIMITED",J
"GALAX TRADING CO., LTD.",J
HAVIN BANK LIMITED,J
HAVANATUR,J
INSTITUTO NACIONAL DE TURISMO DE CUBA,J
INTERCONSULT,J
"KAVE, S.A.",J
LA EMPRESA CUBANA DE FLETES,J
"LEVERAGE, S.A.",J
NIREF,J
NORDSTRAND LTD.,J
NORDSTRAND MARITIME AND TRADING COMPANY,J
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,J
"PESCABRAVA, S.A.",J
PRELASA,J
PRENSA LATINA CANADA LTD.,J
PRENSA LATINA,J
"SERVINAVES, S.A.",J
"TROBER, S.A.",J
TROPIC TOURS GMBH,J
"VIAJES GUAMA, S.A.",J
VINALES TOURS,J
ABUABBAS,F
SHAYKH UMAR ABDAL RAHMAN,F
DR. AYMANAL ZAWAHIRI,F
ABBOUD ABDUL LATIF HASSANAL-ZOMOR,F
MARIVALDO DA SILVA SANTOS,F
SHAYKH MUHAMMAD HUSAYNFADLALLAH,F
NAYIFHAWATMA,F
MOHAMMAD SHAWQIISLAMBOULI,F
AHMADJABRIL,F
TALAL MUHAMMAD RASHIDNAJI,F
HASANNASRALLAH,F
SUBHITUFAYLI,F
SHEIK AHMED ISMAILYASSIN,F
COBALT REFINERY CO. INC.,J
LA COMPANIA GENERAL DE NIQUEL,J
INTERNATIONAL COBALT CO. INC.,J
MOA NICKEL SA,J
MOUSA MOHAMMEDABU MARZOOK,F
GILBERTO JOSERODRIGUEZ OREJUELA,F
MIGUEL ANGELRODRIGUEZ OREJUELA,F
MAR AZUL,F
EBANO,F
TIFON,F
RAMADANABDALLAH,F
BANK MARKAZI JOMHOURI ISLAMI IRAN,J
BANK MASKAN,J
BANK REFAH KARGARAN,J
BANK KESHAVARZI IRAN,J
BANK SADERAT PLC,J
ABU SAYYAF GROUP,J
ARMED ISLAMIC GROUP,J
AUM SHINRIKYO,J
EUZKADI TA ASKATASUNA,J
GAMA'A AL-ISLAMIYYA,J
HAMAS,J
HARAKAT UL-MUJAHIDEEN,J
HIZBALLAH,J
KAHANE CHAI,J
KURDISTAN WORKERS' PARTY,J
LIBERATION TIGERS OF TAMIL EELAM,J
NATIONAL LIBERATION ARMY,J
PALESTINE ISLAMIC JIHAD - SHAQAQI FACTION,J
PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,J
POPULAR FRONT FOR THE LIBERATION OF PALESTINE,J
POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,J
REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,J
REVOLUTIONARY PEOPLE'S STRUGGLE,J
SHINING PATH,J
DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,J
USAMA BIN MUHAMMAD BIN AWADBIN LADIN,F
AL QA'IDA,J
ABU HAFSAL-MASRI,F
RIFA'I AHMAD TAHAMUSA,F
COLOMBIANA DE CERDOS LTDA.,J
DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,J
MATADERO METROPOLITANO LTDA.,J
MOHAMMEDOMAR,F
TALIBAN,J
COMERCIALIZADORA DE CARNES LTDA.,J
SERVIAUTOS UNO A 1A LIMITADA,J
JOSE DE JESUSAMEZCUA CONTRERAS,F
LUIS IGNACIOAMEZCUA CONTRERAS,F
RAMON EDUARDOARELLANO FELIX,F
RAFAELCARO QUINTERO,F
VICENTECARRILLO FUENTES,F
CHI FUCHANG,F
NOEL TIMOTHYHEATH,F
OLUWOLE A.OGUNGBUYI,F
ABENI O.OGUNGBUYI,F
HSUEH KANGWEI,F
BENJAMIN ALBERTOARELLANO FELIX,F
ARCANGEL DE JESUSHENAO MONTOYA,F
JUAN CARLOSRAMIREZ ABADIA,F
AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,J
COMPANIA AGROINVERSORA HENAGRO LTDA.,J
DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,J
MAQUINARIA TECNICA Y TIERRAS LTDA.,J
ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,J
OLGA PATRICIAGONZALEZ BENITEZ,F
ISLAMIC MOVEMENT OF UZBEKISTAN,J
CAVIEDES DILEO Y CIA. S.C.S.,J
VICTOR JULIOPATINO FOMEQUE,F
INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,J
GALAPAGOS S.A,J
JORGE ALIRIODUQUE BOTERO,F
HERNANDOECHEVERRY HERRERA,F
NEW IRISH REPUBLICAN ARMY,J
SHERAFGHAN,F
OSIELCARDENAS GUILLEN,F
MIGUEL ANGELCARO QUINTERO,F
PING YUNCHANG,F
JOSEPHGILBOA,F
JOAQUINGUZMAN LOERA,F
JAMIELHAMIEH,F
ISMAELHIGUERA GUERRERO,F
NASIR ALIKHAN,F
OSCARMALHERBE DE LEON,F
ALCIDESRAMON MAGANA,F
