NOME,TIPO
MUHAMMADTAHERANWARI,F
ABDUL LATIFMANSUR,F
MOHAMMADHASSANAKHUND,F
ABDUL KABIRMOHAMMAD JAN,F
MOHAMMEDOMARGHULAM NABI,F
SAYYED MOHAMMEDHAQQANI,F
SHAMSUR-RAHMANABDUL ZAHIR,F
MOHAMMAD NAIMBARICHKHUDAIDAD,F
FAZL MOHAMMADMAZLOOM,F
SAID AHMEDSHAHIDKHEL,F
MOHAMMADAHMADI,F
ABDUL RAHMANZAHED,F
FAIZ,F
ABDUL BAQIBASIRAWAL SHAH,F
JALALUDDINHAQQANI,F
DIN MOHAMMADHANIF,F
EZATULLAHHAQQANIKHAN SAYYID,F
MOHAMMAD ABBASAKHUND,F
RUSTUMHANAFIHABIBULLAH,F
SAYYED GHIASSOUDDINEAGHA,F
ABDUL-HAQWASSIQ,F
ABDUL JABBAROMARI,F
NURULLAHNURI,F
WALIJAN,F
MOHAMMAD HASANRAHMANI,F
ABDUL MANANNYAZI,F
NAZIR MOHAMMADABDUL BASIR,F
ZIA-UR-RAHMANMADANI,F
AHMAD TAHAKHALIDABDUL QADIR,F
AMINULLAHAMINQUDDUS,F
ABDUL RAHMANAGHA,F
MARIVALDO DA SILVA SANTOS,F
YAR MOHAMMADRAHIMI,F
ALLAH DADTAYEBWALI,F
NIK MOHAMMADDOST MOHAMMAD,F
ALLAH DADMATIN,F
UBAIDULLAHAKHUNDYAR MOHAMMAD AKHUND,F
ABDUL GHANIBARADARABDUL AHMAD TURK,F
ABDUL RAUFKHADEM,F
AMIR KHANMOTAQI,F
ABDUL SALAMHANAFIALI MARDAN,F
MOHAMMAD JAWADWAZIRI,F
MOHAMMAD IBRAHIMOMARI,F
HAMDULLAHNOMANI,F
MOHAMMAD YAQOUB,F
SAYEDMOHAMMADAZIM,F
MOHAMMAD ESSAAKHUND,F
SHER MOHAMMAD ABBASSTANEKZAIPADSHAH KHAN,F
MOHAMMADULLAHMATI,F
ATIQULLAHWALI MOHAMMAD,F
NAJIBULLAHHAQQANIHIDAYATULLAH,F
ABDUL RAQIBTAKHARI,F
MOHAMMAD WALIMOHAMMAD EWAZ,F
HABIBULLAHRESHAD,F
AHMED JANAKHUNDZADAWAZIR,F
SADUDDINSAYYED,F
AKHTARMOHAMMADMANSOUR,F
HIDAYATULLAH,F
MATIULLAH,F
AREFULLAHAREFGHAZI MOHAMMAD,F
ABDUL JALILHAQQANIWALI MOHAMMAD,F
QUDRATULLAHJAMAL,F
ABDUL RAHMANAHMADHOTTAK,F
ABDULHAIMOTMAEN,F
NOORUDDINTURABIMUHAMMAD,F
MOHAMMAD AZAMELMI,F
MOHAMMADMOSLIMHAQQANI,F
MOHAMMAD SALIMHAQQANI,F
SAYED ESMATULLAHASEMABDUL QUDDUS,F
EHSANULLAHSARFIDAHESAMUDDIN,F
DOST MOHAMMAD,F
KHAIRULLAHKHAIRKHWAH,F
MOHAMMAD ESHAQAKHUNZADA,F
SHAMSUDDIN,F
MOHAMMAD RASULAYYUB,F
AHMAD JANAKHUNDZADASHUKOOR,F
HAMDULLAHSUNANI,F
HAMIDULLAHAKHUNDSHER MOHAMMAD,F
JAN MOHAMMADMADANIIKRAM,F
MOHAMMADSARWARSIDDIQMAL,F
ABDUL WALISEDDIQI,F
ABDUL QUDDUSMAZHARI,F
MOHAMMADALEEMNOORANI,F
GUL AHMADHAKIMI,F
HAMDULLAHALLAH NOOR,F
JANANAGHA,F
ABDUL BARIAKHUND,F
ABDUL WAHEDSHAFIQ,F
MOHAMMAD SHAFIQMOHAMMADI,F
MOHAMMAD SHAFIQULLAHAHMADIFATIH KHAN,F
ABDULHAISALEK,F
NOOR MOHAMMADSAQIB,F
SHAHABUDDINDELAWAR,F
ABDUL MANANMOHAMMAD ISHAK,F
MOHAMMADZAHID,F
NAZIRULLAHHANAFIWALIULLAH,F
NAJIBULLAHMUHAMMAD JUMA,F
ABDUL GHAFARSHINWARI,F
ABDUL HAIHAZEMABDUL QADER,F
AZIZIRAHMANABDUL AHAD,F
ABDUL QADEERBASIRABDUL BASEER,F
MOHAMMAD SADIQAMIR MOHAMMAD,F
RAHMATULLAHKAKAZADA,F
ABDULLAHHAMADMOHAMMAD KARIM,F
MAJEEDABDUL CHAUDHRY,F
MOHAMADIQBALABDURRAHMAN,F
SULAIMANJASSEMSULAIMAN,F
AMINMUHAMMADUL HAQ,F
TARIQANWAREL SAYED,F
ABDUL MANAN AGHA,F
ABD ALLAHMOHAMEDRAGAB,F
IBRAHIMALIABU BAKR,F
ZAKIEZATZAKI,F
MOHAMMADHAMDIMOHAMMAD,F
MUHSINFADHILAYED,F
MEHREZBEN MAHMOUDBEN SASSI,F
MOHAMEDBEN BELGACEMBEN ABDALLAH,F
THARWATSALAHSHIHATA,F
ABDULLAHANSHORI,F
ABU BAKARBA'ASYIR,F
MOKHTARBELMOKHTAR,F
MOHAMEDLAKHAL,F
FAYCALBOUGHANEMI,F
HAMADIBEN ABDUL AZIZBEN ALI,F
YASSINECHEKKOURI,F
ABD EL KADERMAHMOUDMOHAMED,F
SAMIBEN KHAMISBEN SALEH,F
MOHAMMADTAHIRHAMMID,F
NOUREDDINEBEN ALIBEN BELKASSEM,F
NASHWANABD AL-RAZZAQABD AL-BAQI,F
BOUBEKEURBOULGHITI,F
KAMALBEN MAOELDIBEN HASSAN,F
SALIMAHMADSALIM,F
TAREKBEN HABIBBEN AL-TOUMI,F
IMEDBEN MEKKIZARKAOUI,F
AIMANMUHAMMEDRABI,F
ABD-AL-MAJIDAZIZAL-ZINDANI,F
BILALBIN MARWAN,F
RAMZIMOHAMEDABDULLAH,F
HASSANDAHIRAWEYS,F
ABDULLAHAHMEDABDULLAH,F
MOUNIREL MOTASSADEQ,F
GUN GUNRUSMANGUNAWAN,F
FARHADKANABIAHMAD,F
NURJAMANRIDUANISAMUDDIN,F
SALIM Y SALAMUDDINJULKIPLI,F
HANIAL-SAYYIDAL-SEBAI,F
MAHFOUZOULDAL-WALID,F
SAIDBAHAJI,F
MAHMOODSULTANBASHIR-UD-DIN,F
ADELBEN AL-AZHARBEN YOUSSEF,F
MAXAMEDCABDULLAAHCIISE,F
LIONELDUMONT,F
AGUSDWIKARNA,F
